position;Kategorie;Betrag_EUR;Seite;GJ
Umsatzerloese;Ertraege;1050000;Haben;2024
Sonstige Ertraege;Ertraege;35000;Haben;2024
Materialaufwand;Aufwendungen;430000;Soll;2024
Personalaufwand;Aufwendungen;330000;Soll;2024
Abschreibungen;Aufwendungen;78000;Soll;2024
Zinsaufwand;Aufwendungen;15000;Soll;2024
Steuern;Aufwendungen;52000;Soll;2024
Sonstige Aufwendungen;Aufwendungen;28000;Soll;2024
Umsatzerloese;Ertraege;1200000;Haben;2025
Sonstige Ertraege;Ertraege;45000;Haben;2025
Materialaufwand;Aufwendungen;480000;Soll;2025
Personalaufwand;Aufwendungen;350000;Soll;2025
Abschreibungen;Aufwendungen;85000;Soll;2025
Zinsaufwand;Aufwendungen;18000;Soll;2025
Steuern;Aufwendungen;62000;Soll;2025
Sonstige Aufwendungen;Aufwendungen;32000;Soll;2025
