Bilanzposition;Kategorie;Unterkategorie;Betrag_EUR;Seite;Geschaeftsjahr
Immaterielle Vermögensgegenstände;Anlagevermögen;Immaterielle Vermögensgegenstände;25000;Aktiva;2025
Grundstücke und Gebäude;Anlagevermögen;Sachanlagen;450000;Aktiva;2025
Technische Anlagen und Maschinen;Anlagevermögen;Sachanlagen;180000;Aktiva;2025
Betriebs- und Geschäftsausstattung;Anlagevermögen;Sachanlagen;75000;Aktiva;2025
Beteiligungen;Finanzanlagen;Beteiligungen;50000;Aktiva;2025
Vorräte;Umlaufvermögen;Vorräte;120000;Aktiva;2025
Forderungen aus Lieferungen und Leistungen;Umlaufvermögen;Forderungen;95000;Aktiva;2025
Sonstige Vermögensgegenstände;Umlaufvermögen;Forderungen;30000;Aktiva;2025
Bankguthaben;Umlaufvermögen;Liquide Mittel;175000;Aktiva;2025
Kassenbestand;Umlaufvermögen;Liquide Mittel;10000;Aktiva;2025
Aktive Rechnungsabgrenzungsposten;Rechnungsabgrenzung;Aktive RAP;15000;Aktiva;2025
Gezeichnetes Kapital;Eigenkapital;Stammkapital;100000;Passiva;2025
Kapitalrücklage;Eigenkapital;Kapitalrücklage;50000;Passiva;2025
Gewinnrücklagen;Eigenkapital;Gewinnrücklagen;180000;Passiva;2025
Jahresüberschuss;Eigenkapital;Jahresüberschuss;75000;Passiva;2025
Rückstellungen für Pensionen;Rückstellungen;Pensionsrückstellungen;60000;Passiva;2025
Sonstige Rückstellungen;Rückstellungen;Sonstige Rückstellungen;85000;Passiva;2025
Verbindlichkeiten gegenüber Kreditinstituten;Verbindlichkeiten;Bankdarlehen;300000;Passiva;2025
Verbindlichkeiten aus Lieferungen und Leistungen;Verbindlichkeiten;Lieferantenverbindlichkeiten;95000;Passiva;2025
Sonstige Verbindlichkeiten;Verbindlichkeiten;Sonstige Verbindlichkeiten;40000;Passiva;2025
Passive Rechnungsabgrenzungsposten;Rechnungsabgrenzung;Passive RAP;10000;Passiva;2025
